"","X","Pollster","Dates","start_date","end_date","observations","sample_subpopulation","McCain","Obama2008","Barr","Nader","Other","Undecided","Margin","Year","State","EndDaysUntil","StartDaysUntil","MidDaysUntil","Dem2P","Rep2P","DemVote","RepVote","VoteErrorAbs","McKinney","NV","Refuse","Not.Voting","Paul","survey_house","ActualMargin","PollMargin","Romney","Obama2012","poll_slug","question_text","margin_of_error","mode","partisanship","partisan_affiliation","None","Refused","Trump","Clinton","Johnson","McMullin","MidDaysFactor","competitive","MarginError","MarginErrorAbs","VoteError","PVRepVote","PVDemVote","PVMargin"
"4286",4286,NA,NA,"9/10/2016","9/13/2016",600,"Likely Voters",NA,NA,NA,NA,"0","17",NA,2016,"MI",56,59,57.5,0.525,0.475,0.548,0.452,2.3,NA,NA,NA,NA,NA,"EPIC-MRA/Detroit Free Press/WXYZ-TV ",0,4,NA,NA,"epic-mra-detroit-free-press-wxyz-tv-25508",1,4,"Live Phone","Nonpartisan","None",NA,NA,38,42,3,NA,"9 Weeks to Go","competitive",-4,4,0.023,0.451994679288221,0.548005320711779,0.0949728818309853
"4287",4287,NA,NA,"9/10/2016","9/13/2016",600,"Likely Voters",NA,NA,NA,NA,"4","13",NA,2016,"MI",56,59,57.5,0.521,0.479,0.548,0.452,2.7,NA,NA,NA,NA,NA,"EPIC-MRA/Detroit Free Press/WXYZ-TV ",0,3,NA,NA,"epic-mra-detroit-free-press-wxyz-tv-25508",1,4,"Live Phone","Nonpartisan","None",NA,NA,35,38,10,NA,"9 Weeks to Go","competitive",-3,3,0.027,0.451994679288221,0.548005320711779,0.0949728818309853
"4288",4288,NA,NA,"8/9/2016","9/1/2016",2428,"Registered Voters",NA,NA,NA,NA,NA,"10",NA,2016,"MI",68,91,79.5,0.511,0.489,0.548,0.452,3.7,NA,NA,NA,NA,NA,"WashPost/SurveyMonkey",0,2,NA,NA,"washpost-surveymonkey-25350",1,NA,"Internet","Nonpartisan","None",NA,NA,44,46,NA,NA,"12 Weeks to Go","competitive",-2,2,0.037,0.451994679288221,0.548005320711779,0.0949728818309853
"4289",4289,NA,NA,"8/9/2016","9/1/2016",2428,"Registered Voters",NA,NA,NA,NA,"5","5",NA,2016,"MI",68,91,79.5,0.506,0.494,0.548,0.452,4.2,NA,NA,NA,NA,NA,"WashPost/SurveyMonkey",0,1,NA,NA,"washpost-surveymonkey-25350",1,NA,"Internet","Nonpartisan","None",NA,NA,38,39,13,NA,"12 Weeks to Go","competitive",-1,1,0.042,0.451994679288221,0.548005320711779,0.0949728818309853
"4290",4290,NA,NA,"8/22/2016","8/24/2016",500,"Likely Voters",NA,NA,NA,NA,"3","11",NA,2016,"MI",76,78,77,0.543,0.457,0.548,0.452,0.5,NA,NA,NA,NA,NA,"Suffolk",0,7,NA,NA,"suffolk-25261",1,4.4,"Live Phone","Nonpartisan","None",NA,NA,37,44,5,NA,"11 Weeks to Go","competitive",-7,7,0.005,0.451994679288221,0.548005320711779,0.0949728818309853
"4291",4291,NA,NA,"7/30/2016","8/4/2016",600,"Likely Voters",NA,NA,NA,NA,"0","17",NA,2016,"MI",96,101,98.5,0.561,0.439,0.548,0.452,1.3,NA,NA,NA,NA,NA,"EPIC-MRA/Detroit Free Press/WXYZ-TV ",0,10,NA,NA,"epic-mra-detroit-free-press-wxyz-tv-25074",1,4,"Live Phone","Nonpartisan","None",NA,NA,36,46,1,NA,"Summer","competitive",-10,10,-0.013,0.451994679288221,0.548005320711779,0.0949728818309853
"4292",4292,NA,NA,"7/30/2016","8/4/2016",600,"Likely Voters",NA,NA,NA,NA,"3","14",NA,2016,"MI",96,101,98.5,0.573,0.427,0.548,0.452,2.5,NA,NA,NA,NA,NA,"EPIC-MRA/Detroit Free Press/WXYZ-TV ",0,11,NA,NA,"epic-mra-detroit-free-press-wxyz-tv-25074",1,4,"Live Phone","Nonpartisan","None",NA,NA,32,43,8,NA,"Summer","competitive",-11,11,-0.025,0.451994679288221,0.548005320711779,0.0949728818309853
"4293",4293,NA,NA,"7/30/2016","8/1/2016",600,"Likely Voters",NA,NA,NA,NA,"4","15",NA,2016,"MI",99,101,100,0.562,0.438,0.548,0.452,1.4,NA,NA,NA,NA,NA,"Glengariff/Detroit News/WDIV",0,9,NA,NA,"glengariff-detroit-news-wdiv-25056",1,4,"Live Phone","Nonpartisan","None",NA,NA,32,41,8,NA,"Summer","competitive",-9,9,-0.014,0.451994679288221,0.548005320711779,0.0949728818309853
"4294",4294,NA,NA,"7/13/2016","7/15/2016",1201,"Likely Voters",NA,NA,NA,NA,"11","8",NA,2016,"MI",116,118,117,0.519,0.481,0.548,0.452,2.9,NA,NA,NA,NA,NA,"CBS/YouGov",0,3,NA,NA,"cbs-yougov-24911",1,4.1,"Internet","Nonpartisan","None",NA,NA,39,42,NA,NA,"Summer","competitive",-3,3,0.029,0.451994679288221,0.548005320711779,0.0949728818309853
"4295",4295,NA,NA,"7/11/2016","7/15/2016",800,"Likely Voters",NA,NA,NA,NA,"4","31",NA,2016,"MI",116,120,118,0.54,0.46,0.548,0.452,0.8,NA,NA,NA,NA,NA,"Marketing Resource Group (R)",0,5,NA,NA,"marketing-resource-group-r-24926",1,NA,"Live Phone","Pollster","Rep",NA,NA,29,34,3,NA,"Summer","competitive",-5,5,0.008,0.451994679288221,0.548005320711779,0.0949728818309853
"4296",4296,NA,NA,"7/5/2016","7/11/2016",600,"Likely Voters",NA,NA,NA,NA,NA,"27",NA,2016,"MI",120,126,123,0.541,0.459,0.548,0.452,0.7,NA,NA,NA,NA,NA,"Mitchell Research (R)/Fox 2 Detroit/(MAHP)",0,6,NA,NA,"mitchell-research-r-fox-2-detroit-mahp-24986",1,4,"IVR/Live Phone","Pollster","Rep",NA,NA,34,40,NA,NA,"Summer","competitive",-6,6,0.007,0.451994679288221,0.548005320711779,0.0949728818309853
"4297",4297,NA,NA,"7/7/2016","7/8/2016",1562,"Registered Voters",NA,NA,NA,NA,"11",NA,NA,2016,"MI",123,124,123.5,0.539,0.461,0.548,0.452,0.9,NA,NA,NA,NA,NA,"Gravis Marketing",0,7,NA,NA,"gravis-marketing-24886",6,2.4,"Automated Phone","Nonpartisan","None",NA,NA,41,48,NA,NA,"Summer","competitive",-7,7,0.009,0.451994679288221,0.548005320711779,0.0949728818309853
"4298",4298,NA,NA,"7/7/2016","7/8/2016",1562,"Registered Voters",NA,NA,NA,NA,"27",NA,NA,2016,"MI",123,124,123.5,0.521,0.479,0.548,0.452,2.7,NA,NA,NA,NA,NA,"Gravis Marketing",0,3,NA,NA,"gravis-marketing-24886",7,2.4,"Automated Phone","Nonpartisan","None",NA,NA,34,37,2,NA,"Summer","competitive",-3,3,0.027,0.451994679288221,0.548005320711779,0.0949728818309853
"4299",4299,NA,NA,"6/11/2016","6/20/2016",300,"Likely Voters",NA,NA,NA,NA,"6","5",NA,2016,"MI",141,150,145.5,0.562,0.438,0.548,0.452,1.4,NA,NA,NA,NA,NA,"GQR (D-Democracy Corps/Women's Voices Women Vote)",0,11,NA,NA,"gqr-d-democracy-corps-women-s-voices-women-vote-24843",1,5.66,"Live Phone","Sponsor","Dem",NA,NA,39,50,NA,NA,"Summer","competitive",-11,11,-0.014,0.451994679288221,0.548005320711779,0.0949728818309853
"4300",4300,NA,NA,"6/11/2016","6/20/2016",300,"Likely Voters",NA,NA,NA,NA,"3","3",NA,2016,"MI",141,150,145.5,0.593,0.407,0.548,0.452,4.5,NA,NA,NA,NA,NA,"GQR (D-Democracy Corps/Women's Voices Women Vote)",0,15,NA,NA,"gqr-d-democracy-corps-women-s-voices-women-vote-24843",1,5.66,"Live Phone","Sponsor","Dem",NA,NA,33,48,12,NA,"Summer","competitive",-15,15,-0.045,0.451994679288221,0.548005320711779,0.0949728818309853
"4301",4301,NA,NA,"5/24/2016","5/26/2016",600,"Likely Voters",NA,NA,NA,NA,"4","15",NA,2016,"MI",166,168,167,0.524,0.476,0.548,0.452,2.4,NA,NA,NA,NA,NA,"Glengariff/Detroit News/WDIV",0,4,NA,NA,"glengariff-detroit-news-wdiv-24588",1,4,"Live Phone","Nonpartisan","None",NA,NA,39,43,NA,NA,"Primary","competitive",-4,4,0.024,0.451994679288221,0.548005320711779,0.0949728818309853
"4302",4302,NA,NA,"5/24/2016","5/26/2016",600,"Likely Voters",NA,NA,NA,NA,"14","17",NA,2016,"MI",166,168,167,0.529,0.471,0.548,0.452,1.9,NA,NA,NA,NA,NA,"Glengariff/Detroit News/WDIV",0,4,NA,NA,"glengariff-detroit-news-wdiv-24588",1,4,"Live Phone","Nonpartisan","None",NA,NA,33,37,NA,NA,"Primary","competitive",-4,4,0.019,0.451994679288221,0.548005320711779,0.0949728818309853
"4303",4303,NA,NA,"3/23/2016","3/24/2016",904,"Likely Voters",NA,NA,NA,NA,NA,"13",NA,2016,"MI",229,230,229.5,0.563,0.437,0.548,0.452,1.5,NA,NA,NA,NA,NA,"SurveyUSA",0,11,NA,NA,"surveyusa-24153",1,3.3,"IVR/Online","Nonpartisan","None",NA,NA,38,49,NA,NA,"Primary","competitive",-11,11,-0.015,0.451994679288221,0.548005320711779,0.0949728818309853
"4304",4304,NA,NA,"3/19/2016","3/22/2016",600,"Likely Voters",NA,NA,NA,NA,NA,"16",NA,2016,"MI",231,234,232.5,0.56,0.44,0.548,0.452,1.2,NA,NA,NA,NA,NA,"EPIC-MRA/Detroit Free Press/WXYZ-TV ",0,10,NA,NA,"epic-mra-detroit-free-press-wxyz-tv-24238",1,4,"Live Phone","Nonpartisan","None",NA,NA,37,47,NA,NA,"Primary","competitive",-10,10,-0.012,0.451994679288221,0.548005320711779,0.0949728818309853
"4305",4305,NA,NA,"3/1/2016","3/3/2016",2229,"Registered Voters",NA,NA,NA,NA,NA,"13",NA,2016,"MI",250,252,251,0.591,0.409,0.548,0.452,4.3,NA,NA,NA,NA,NA,"NBC/WSJ/Marist",0,16,NA,NA,"nbc-wsj-marist-23993",1,2.1,"Live Phone","Nonpartisan","None",NA,NA,36,52,NA,NA,"Primary","competitive",-16,16,-0.043,0.451994679288221,0.548005320711779,0.0949728818309853
"4306",4306,NA,NA,"2/22/2016","2/27/2016",600,"Likely Voters",NA,NA,NA,NA,"4","13",NA,2016,"MI",255,260,257.5,0.53,0.47,0.548,0.452,1.8,NA,NA,NA,NA,NA,"Marketing Resource Group (R)",0,5,NA,NA,"marketing-resource-group-r-23917",1,4,"Live Phone","Pollster","Rep",NA,NA,39,44,NA,NA,"Primary","competitive",-5,5,0.018,0.451994679288221,0.548005320711779,0.0949728818309853
"4307",4307,NA,NA,"10/25/2015","10/31/2015",600,"Likely Voters",NA,NA,NA,NA,NA,"16",NA,2016,"MI",374,380,377,0.548,0.452,0.548,0.452,0,NA,NA,NA,NA,NA,"EPIC-MRA/Detroit Free Press/WXYZ-TV ",0,8,NA,NA,"epic-mra-detroit-free-press-wxyz-tv-23078",1,4,"Live Phone","Nonpartisan","None",NA,NA,38,46,NA,NA,"Pre-Primary","competitive",-8,8,0,0.451994679288221,0.548005320711779,0.0949728818309853
"4308",4308,NA,NA,"9/18/2015","9/18/2015",1483,"Likely Voters",NA,NA,NA,NA,NA,NA,NA,2016,"MI",417,417,417,0.5,0.5,0.548,0.452,4.8,NA,NA,NA,NA,NA,"Mitchell Research (R)/Fox 2 Detroit",0,0,NA,NA,"mitchell-research-r-fox-2-detroit-22826",1,2.5,"Automated Phone","Pollster","Rep",NA,NA,42,42,NA,NA,"Pre-Primary","competitive",0,0,0.048,0.451994679288221,0.548005320711779,0.0949728818309853
"4309",4309,NA,NA,"9/9/2015","9/14/2015",600,"Likely Voters",NA,NA,NA,NA,NA,NA,NA,2016,"MI",421,426,423.5,0.518,0.482,0.548,0.452,3,NA,NA,NA,NA,NA,"Marketing Resource Group (R)",0,3,NA,NA,"marketing-resource-group-r-22759",1,4,"Live Phone","Pollster","Rep",NA,NA,40,43,NA,NA,"Pre-Primary","competitive",-3,3,0.03,0.451994679288221,0.548005320711779,0.0949728818309853
"4310",4310,NA,NA,"8/18/2015","8/22/2015",600,"Likely Voters",NA,NA,NA,NA,NA,"14",NA,2016,"MI",444,448,446,0.512,0.488,0.548,0.452,3.6,NA,NA,NA,NA,NA,"EPIC-MRA/Detroit Free Press/WXYZ-TV ",0,2,NA,NA,"epic-mra-detroit-free-press-wxyz-tv-22605",1,4,"Live Phone","Nonpartisan","None",NA,NA,42,44,NA,NA,"Pre-Primary","competitive",-2,2,0.036,0.451994679288221,0.548005320711779,0.0949728818309853
"4311",4311,NA,NA,"8/10/2015","8/10/2015",1310,"Likely Voters",NA,NA,NA,NA,NA,NA,NA,2016,"MI",456,456,456,0.494,0.506,0.548,0.452,5.4,NA,NA,NA,NA,NA,"Mitchell Research (R)/Fox 2 Detroit",0,-1,NA,NA,"mitchell-research-r-fox-2-detroit-22603",1,27,"Automated Phone","Pollster","Rep",NA,NA,40,39,NA,NA,"Pre-Primary","competitive",1,1,0.054,0.451994679288221,0.548005320711779,0.0949728818309853
"4312",4312,NA,NA,"6/25/2015","6/28/2015",1072,"Likely Voters",NA,NA,NA,NA,NA,"12",NA,2016,"MI",499,502,500.5,0.557,0.443,0.548,0.452,0.9,NA,NA,NA,NA,NA,"PPP (D)",0,10,NA,NA,"ppp-d-22328",1,3,"IVR/Online","Pollster","Dem",NA,NA,39,49,NA,NA,"Pre-Primary","competitive",-10,10,-0.009,0.451994679288221,0.548005320711779,0.0949728818309853
"4313",4313,NA,NA,"11/1/2016","11/7/2016",719,"Likely Voters",NA,NA,NA,NA,"6","2",NA,2016,"MT",1,7,4,0.457,0.543,0.429,0.571,2.8,NA,NA,NA,NA,NA,"SurveyMonkey",-21,-8,NA,NA,"surveymonkey-26807",NA,NA,"Internet","Nonpartisan","None",NA,NA,50,42,NA,NA,"Last week","noncompetitive",-13,13,-0.028,0.570342318638815,0.429657681361185,-0.136533980101147
"4314",4314,NA,NA,"10/30/2016","11/6/2016",330,"Likely Voters",NA,NA,NA,NA,"4",NA,NA,2016,"MT",2,9,5.5,0.438,0.562,0.429,0.571,0.9,NA,NA,NA,NA,NA,"UPI/CVOTER",-21,-12,NA,NA,"upi-cvoter-26793",NA,NA,"Internet","Nonpartisan","None",NA,NA,54,42,NA,NA,"Last week","noncompetitive",-9,9,-0.009,0.570342318638815,0.429657681361185,-0.136533980101147
"4315",4315,NA,NA,"10/30/2016","11/6/2016",676,"Likely Voters",NA,NA,NA,NA,"6","2",NA,2016,"MT",2,9,5.5,0.451,0.549,0.429,0.571,2.2,NA,NA,NA,NA,NA,"SurveyMonkey",-21,-9,NA,NA,"surveymonkey-26769",NA,NA,"Internet","Nonpartisan","None",NA,NA,50,41,NA,NA,"Last week","noncompetitive",-12,12,-0.022,0.570342318638815,0.429657681361185,-0.136533980101147
"4316",4316,NA,NA,"10/17/2016","11/6/2016",388,"Likely Voters",NA,NA,NA,NA,NA,"11",NA,2016,"MT",2,22,12,0.404,0.596,0.429,0.571,2.5,NA,NA,NA,NA,NA,"Ipsos/Reuters",-21,-17,NA,NA,"ipsos-reuters-26806",NA,NA,"Internet","Nonpartisan","None",NA,NA,53,36,NA,NA,"2 Weeks to Go","noncompetitive",-4,4,0.025,0.570342318638815,0.429657681361185,-0.136533980101147
"4317",4317,NA,NA,"10/29/2016","11/4/2016",704,"Likely Voters",NA,NA,NA,NA,"7","3",NA,2016,"MT",4,10,7,0.444,0.556,0.429,0.571,1.5,NA,NA,NA,NA,NA,"SurveyMonkey",-21,-10,NA,NA,"surveymonkey-26731",NA,NA,"Internet","Nonpartisan","None",NA,NA,50,40,NA,NA,"Last week","noncompetitive",-11,11,-0.015,0.570342318638815,0.429657681361185,-0.136533980101147
"4318",4318,NA,NA,"10/28/2016","11/3/2016",673,"Likely Voters",NA,NA,NA,NA,"8","3",NA,2016,"MT",5,11,8,0.449,0.551,0.429,0.571,2,NA,NA,NA,NA,NA,"SurveyMonkey",-21,-9,NA,NA,"surveymonkey-26694",NA,NA,"Internet","Nonpartisan","None",NA,NA,49,40,NA,NA,"2 Weeks to Go","noncompetitive",-12,12,-0.02,0.570342318638815,0.429657681361185,-0.136533980101147
"4319",4319,NA,NA,"10/14/2016","11/3/2016",377,"Likely Voters",NA,NA,NA,NA,NA,"12",NA,2016,"MT",5,25,15,0.386,0.614,0.429,0.571,4.3,NA,NA,NA,NA,NA,"Ipsos/Reuters",-21,-20,NA,NA,"ipsos-reuters-26743",NA,NA,"Internet","Nonpartisan","None",NA,NA,54,34,NA,NA,"3 Weeks to Go","noncompetitive",-1,1,0.043,0.570342318638815,0.429657681361185,-0.136533980101147
"4320",4320,NA,NA,"10/27/2016","11/2/2016",676,"Likely Voters",NA,NA,NA,NA,"9","3",NA,2016,"MT",6,12,9,0.455,0.545,0.429,0.571,2.6,NA,NA,NA,NA,NA,"SurveyMonkey",-21,-8,NA,NA,"surveymonkey-26660",NA,NA,"Internet","Nonpartisan","None",NA,NA,48,40,NA,NA,"2 Weeks to Go","noncompetitive",-13,13,-0.026,0.570342318638815,0.429657681361185,-0.136533980101147
"4321",4321,NA,NA,"10/26/2016","11/1/2016",623,"Likely Voters",NA,NA,NA,NA,"9","3",NA,2016,"MT",7,13,10,0.466,0.534,0.429,0.571,3.7,NA,NA,NA,NA,NA,"SurveyMonkey",-21,-6,NA,NA,"surveymonkey-26619",NA,NA,"Internet","Nonpartisan","None",NA,NA,47,41,NA,NA,"2 Weeks to Go","noncompetitive",-15,15,-0.037,0.570342318638815,0.429657681361185,-0.136533980101147
"4322",4322,NA,NA,"10/25/2016","10/31/2016",648,"Likely Voters",NA,NA,NA,NA,"9","3",NA,2016,"MT",8,14,11,0.461,0.539,0.429,0.571,3.2,NA,NA,NA,NA,NA,"SurveyMonkey",-21,-7,NA,NA,"surveymonkey-26596",NA,NA,"Internet","Nonpartisan","None",NA,NA,48,41,NA,NA,"2 Weeks to Go","noncompetitive",-14,14,-0.032,0.570342318638815,0.429657681361185,-0.136533980101147
"4323",4323,NA,NA,"10/24/2016","10/30/2016",635,"Likely Voters",NA,NA,NA,NA,"8","3",NA,2016,"MT",9,15,12,0.472,0.528,0.429,0.571,4.3,NA,NA,NA,NA,NA,"SurveyMonkey",-21,-5,NA,NA,"surveymonkey-26572",NA,NA,"Internet","Nonpartisan","None",NA,NA,47,42,NA,NA,"2 Weeks to Go","noncompetitive",-16,16,-0.043,0.570342318638815,0.429657681361185,-0.136533980101147
"4324",4324,NA,NA,"10/23/2016","10/29/2016",313,"Likely Voters",NA,NA,NA,NA,"4",NA,NA,2016,"MT",10,16,13,0.433,0.567,0.429,0.571,0.4,NA,NA,NA,NA,NA,"UPI/CVOTER",-21,-13,NA,NA,"upi-cvoter-26592",NA,NA,"Internet","Nonpartisan","None",NA,NA,55,42,NA,NA,"2 Weeks to Go","noncompetitive",-8,8,-0.004,0.570342318638815,0.429657681361185,-0.136533980101147
"4325",4325,NA,NA,"10/20/2016","10/28/2016",819,"Likely Voters",NA,NA,NA,NA,"6","2",NA,2016,"MT",11,19,15,0.462,0.538,0.429,0.571,3.3,NA,NA,NA,NA,NA,"SurveyMonkey",-21,-7,NA,NA,"surveymonkey-26537",NA,NA,"Internet","Nonpartisan","None",NA,NA,49,42,NA,NA,"3 Weeks to Go","noncompetitive",-14,14,-0.033,0.570342318638815,0.429657681361185,-0.136533980101147
"4326",4326,NA,NA,"10/7/2016","10/27/2016",390,"Likely Voters",NA,NA,NA,NA,NA,"15",NA,2016,"MT",12,32,22,0.388,0.612,0.429,0.571,4.1,NA,NA,NA,NA,NA,"Ipsos/Reuters",-21,-19,NA,NA,"ipsos-reuters-26585",NA,NA,"Internet","Nonpartisan","None",NA,NA,52,33,NA,NA,"4 Weeks to Go","noncompetitive",-2,2,0.041,0.570342318638815,0.429657681361185,-0.136533980101147
"4327",4327,NA,NA,"10/18/2016","10/26/2016",800,"Likely Voters",NA,NA,NA,NA,"5","2",NA,2016,"MT",13,21,17,0.457,0.543,0.429,0.571,2.8,NA,NA,NA,NA,NA,"SurveyMonkey",-21,-8,NA,NA,"surveymonkey-26499",NA,NA,"Internet","Nonpartisan","None",NA,NA,50,42,NA,NA,"3 Weeks to Go","noncompetitive",-13,13,-0.028,0.570342318638815,0.429657681361185,-0.136533980101147
"4328",4328,NA,NA,"10/18/2016","10/24/2016",704,"Likely Voters",NA,NA,NA,NA,"6","2",NA,2016,"MT",15,21,18,0.457,0.543,0.429,0.571,2.8,NA,NA,NA,NA,NA,"SurveyMonkey",-21,-8,NA,NA,"surveymonkey-26441",NA,NA,"Internet","Nonpartisan","None",NA,NA,50,42,NA,NA,"3 Weeks to Go","noncompetitive",-13,13,-0.028,0.570342318638815,0.429657681361185,-0.136533980101147
"4329",4329,NA,NA,"10/17/2016","10/23/2016",599,"Likely Voters",NA,NA,NA,NA,"3","2",NA,2016,"MT",16,22,19,0.457,0.543,0.429,0.571,2.8,NA,NA,NA,NA,NA,"SurveyMonkey",-21,-8,NA,NA,"surveymonkey-26431",NA,NA,"Internet","Nonpartisan","None",NA,NA,51,43,NA,NA,"3 Weeks to Go","noncompetitive",-13,13,-0.028,0.570342318638815,0.429657681361185,-0.136533980101147
"4330",4330,NA,NA,"10/16/2016","10/23/2016",320,"Likely Voters",NA,NA,NA,NA,"4",NA,NA,2016,"MT",16,23,19.5,0.438,0.562,0.429,0.571,0.9,NA,NA,NA,NA,NA,"UPI/CVOTER",-21,-12,NA,NA,"upi-cvoter-26409",NA,NA,"Internet","Nonpartisan","None",NA,NA,54,42,NA,NA,"3 Weeks to Go","noncompetitive",-9,9,-0.009,0.570342318638815,0.429657681361185,-0.136533980101147
"4331",4331,NA,NA,"9/30/2016","10/20/2016",367,"Likely Voters",NA,NA,NA,NA,NA,"11",NA,2016,"MT",19,39,29,0.416,0.584,0.429,0.571,1.3,NA,NA,NA,NA,NA,"Ipsos/Reuters",-21,-15,NA,NA,"ipsos-reuters-26407",NA,NA,"Internet","Nonpartisan","None",NA,NA,52,37,NA,NA,"5 Weeks to Go","noncompetitive",-6,6,0.013,0.570342318638815,0.429657681361185,-0.136533980101147
"4332",4332,NA,NA,"10/9/2016","10/16/2016",322,"Likely Voters",NA,NA,NA,NA,"4",NA,NA,2016,"MT",23,30,26.5,0.438,0.562,0.429,0.571,0.9,NA,NA,NA,NA,NA,"UPI/CVOTER",-21,-12,NA,NA,"upi-cvoter-26311",NA,NA,"Internet","Nonpartisan","None",NA,NA,54,42,NA,NA,"4 Weeks to Go","noncompetitive",-9,9,-0.009,0.570342318638815,0.429657681361185,-0.136533980101147
"4333",4333,NA,NA,"9/23/2016","10/13/2016",404,"Likely Voters",NA,NA,NA,NA,NA,"10",NA,2016,"MT",26,46,36,0.456,0.544,0.429,0.571,2.7,NA,NA,NA,NA,NA,"Ipsos/Reuters",-21,-8,NA,NA,"ipsos-reuters-26344",NA,NA,"Internet","Nonpartisan","None",NA,NA,49,41,NA,NA,"6 Weeks to Go","noncompetitive",-13,13,-0.027,0.570342318638815,0.429657681361185,-0.136533980101147
"4334",4334,NA,NA,"10/2/2016","10/9/2016",324,"Likely Voters",NA,NA,NA,NA,"5",NA,NA,2016,"MT",30,37,33.5,0.438,0.562,0.429,0.571,0.9,NA,NA,NA,NA,NA,"UPI/CVOTER",-21,-12,NA,NA,"upi-cvoter-26048",NA,NA,"Internet","Nonpartisan","None",NA,NA,54,42,NA,NA,"5 Weeks to Go","noncompetitive",-9,9,-0.009,0.570342318638815,0.429657681361185,-0.136533980101147
"4335",4335,NA,NA,"9/16/2016","10/6/2016",405,"Likely Voters",NA,NA,NA,NA,NA,"9",NA,2016,"MT",33,53,43,0.44,0.56,0.429,0.571,1.1,NA,NA,NA,NA,NA,"Ipsos/Reuters",-21,-11,NA,NA,"ipsos-reuters-26117",NA,NA,"Internet","Nonpartisan","None",NA,NA,51,40,NA,NA,"7 Weeks to Go","noncompetitive",-10,10,-0.011,0.570342318638815,0.429657681361185,-0.136533980101147
"4336",4336,NA,NA,"9/19/2016","10/2/2016",528,"Likely Voters",NA,NA,NA,NA,"4",NA,NA,2016,"MT",37,50,43.5,0.412,0.588,0.429,0.571,1.7,NA,NA,NA,NA,NA,"UPI/CVOTER",-21,-17,NA,NA,"upi-cvoter-25921",NA,NA,"Internet","Nonpartisan","None",NA,NA,57,40,NA,NA,"7 Weeks to Go","noncompetitive",-4,4,0.017,0.570342318638815,0.429657681361185,-0.136533980101147
"4337",4337,NA,NA,"9/9/2016","9/29/2016",385,"Likely Voters",NA,NA,NA,NA,NA,"13",NA,2016,"MT",40,60,50,0.437,0.563,0.429,0.571,0.8,NA,NA,NA,NA,NA,"Ipsos/Reuters",-21,-11,NA,NA,"ipsos-reuters-25870",NA,NA,"Internet","Nonpartisan","None",NA,NA,49,38,NA,NA,"8 Weeks to Go","noncompetitive",-10,10,-0.008,0.570342318638815,0.429657681361185,-0.136533980101147
"4338",4338,NA,NA,"9/12/2016","9/25/2016",512,"Likely Voters",NA,NA,NA,NA,"5",NA,NA,2016,"MT",44,57,50.5,0.427,0.573,0.429,0.571,0.2,NA,NA,NA,NA,NA,"UPI/CVOTER",-21,-14,NA,NA,"upi-cvoter-25752",NA,NA,"Internet","Nonpartisan","None",NA,NA,55,41,NA,NA,"8 Weeks to Go","noncompetitive",-7,7,0.002,0.570342318638815,0.429657681361185,-0.136533980101147
"4339",4339,NA,NA,"9/2/2016","9/22/2016",365,"Likely Voters",NA,NA,NA,NA,NA,"12",NA,2016,"MT",47,67,57,0.432,0.568,0.429,0.571,0.3,NA,NA,NA,NA,NA,"Ipsos/Reuters",-21,-12,NA,NA,"ipsos-reuters-25711",NA,NA,"Internet","Nonpartisan","None",NA,NA,50,38,NA,NA,"9 Weeks to Go","noncompetitive",-9,9,-0.003,0.570342318638815,0.429657681361185,-0.136533980101147
"4340",4340,NA,NA,"8/26/2016","9/15/2016",348,"Likely Voters",NA,NA,NA,NA,NA,"12",NA,2016,"MT",54,74,64,0.42,0.58,0.429,0.571,0.9,NA,NA,NA,NA,NA,"Ipsos/Reuters",-21,-14,NA,NA,"ipsos-reuters-25557",NA,NA,"Internet","Nonpartisan","None",NA,NA,51,37,NA,NA,"10 Weeks to Go","noncompetitive",-7,7,0.009,0.570342318638815,0.429657681361185,-0.136533980101147
"4341",4341,NA,NA,"8/9/2016","9/1/2016",823,"Registered Voters",NA,NA,NA,NA,NA,"6",NA,2016,"MT",68,91,79.5,0.489,0.511,0.429,0.571,6,NA,NA,NA,NA,NA,"WashPost/SurveyMonkey",-21,-2,NA,NA,"washpost-surveymonkey-25374",NA,NA,"Internet","Nonpartisan","None",NA,NA,48,46,NA,NA,"12 Weeks to Go","noncompetitive",-19,19,-0.06,0.570342318638815,0.429657681361185,-0.136533980101147
"4342",4342,NA,NA,"8/9/2016","9/1/2016",823,"Registered Voters",NA,NA,NA,NA,"6","5",NA,2016,"MT",68,91,79.5,0.483,0.517,0.429,0.571,5.4,NA,NA,NA,NA,NA,"WashPost/SurveyMonkey",-21,-3,NA,NA,"washpost-surveymonkey-25374",NA,NA,"Internet","Nonpartisan","None",NA,NA,46,43,NA,NA,"12 Weeks to Go","noncompetitive",-18,18,-0.054,0.570342318638815,0.429657681361185,-0.136533980101147
"4343",4343,NA,NA,"3/28/2016","3/30/2016",625,"Registered Voters",NA,NA,NA,NA,NA,"11",NA,2016,"MT",223,225,224,0.483,0.517,0.429,0.571,5.4,NA,NA,NA,NA,NA,"Mason-Dixon",-21,-3,NA,NA,"mason-dixon-24213",NA,4,"Live Phone","Nonpartisan","None",NA,NA,46,43,NA,NA,"Primary","noncompetitive",-18,18,-0.054,0.570342318638815,0.429657681361185,-0.136533980101147
